tavg(baru);rh(baru);RR(baru);ss(baru);ff(baru);ddd(baru)
-0,302415544;0,447980327;-0,520504532;-0,329362941;-1,303723343;-1,179004104
-0,302415544;0,886529489;-0,520504532;-1,831874818;1,805155397;1,729105955
1,197565555;-0,136751889;-0,488717996;-0,09032696;-0,267430429;1,49645715
0,82257028;0,447980327;-0,520504532;-0,739138907;1,805155397;-0,830030897
-0,489913182;1,032712543;-0,329785314;0,319449006;1,805155397;1,49645715
-1,989894281;1,178895597;1,259541502;-1,763578824;-0,267430429;-0,132084483
-2,177391918;0,740346435;2,610469295;-0,022030966;0,768862484;-0,713706494
-0,489913182;0,155614219;1,799912619;-0,397658935;-1,303723343;1,147483943
0,447575005;1,032712543;-0,361571851;0,660928978;-1,303723343;-0,830030897
0,072579731;1,032712543;-0,170852633;-1,831874818;-0,267430429;-0,946355299
1,197565555;0,301797273;-0,520504532;-1,831874818;-0,267430429;-0,132084483
-0,302415544;0,740346435;-0,059599756;-0,261066946;-0,267430429;0,914835138
0,635072643;0,155614219;-0,409251655;0,012117031;-0,267430429;-0,01576008
-0,302415544;1,032712543;-0,520504532;0,695076976;-0,267430429;-0,830030897
0,447575005;0,009431165;-0,488717996;-1,012322885;-1,303723343;-0,48105769
-1,052406094;0,447980327;-0,504611264;0,14870902;-0,267430429;0,914835138
-0,677410819;1,032712543;-0,202639169;0,217005015;-0,267430429;-0,830030897
-0,677410819;0,447980327;2,721722172;-1,31965486;-0,267430429;1,612781553
0,447575005;-0,721484106;-0,520504532;0,797520967;-0,267430429;1,845430357
0,82257028;-0,721484106;-0,520504532;1,139000939;-0,267430429;-0,132084483
2,510049017;-0,721484106;-0,520504532;1,173148936;0,768862484;-0,364733287
-0,114917907;-2,037131592;-0,520504532;1,309740925;1,805155397;-0,830030897
-1,427401369;-0,86766716;-0,520504532;1,241444931;-0,267430429;-0,364733287
-1,052406094;-1,744765484;-0,520504532;1,070704945;-1,303723343;-0,48105769
1,010067918;-0,721484106;-0,520504532;0,968260953;-0,267430429;0,449537529
-0,677410819;1,763627813;-0,520504532;0,421892998;-1,303723343;0,914835138
-0,114917907;0,155614219;-0,170852633;-0,124474958;1,805155397;-1,853685637
0,260077368;-1,306216322;-0,520504532;-0,46595493;0,768862484;0,565861931
0,260077368;-1,160033268;-0,520504532;1,480480911;0,768862484;-0,946355299
1,197565555;-1,452399376;-0,520504532;0,797520967;-0,267430429;-0,364733287
0,82257028;-1,452399376;-0,520504532;-0,431806932;-0,267430429;-0,830030897
