tavg(baru);rh(baru);RR(baru);ss(baru);ff(baru);ddd(baru)
0,212871857;-0,02073389;-0,660546363;1,052773456;-0,010084458;-0,713082582
2,02788453;-1,700178951;-0,715947025;-0,305226702;-0,322702658;1,285824443
-0,845885536;0,818988641;0,328751185;-0,033626671;-0,010084458;0,933076144
-0,240881312;0,818988641;2,06991487;0,897573438;-0,322702658;-0,830665348
-0,089630255;0,539081131;0,115062915;-0,46042672;0,615151941;0,109996781
-1,299638704;1,378803662;0,091319774;1,052773456;-0,010084458;1,756155507
0,666625025;-0,86045642;3,439102676;-0,964826779;-0,635320857;-0,360334283
0,364122913;-0,02073389;-0,715947025;1,207973474;-0,322702658;0,933076144
2,179135586;-1,700178951;0,85110029;0,237973361;-0,635320857;-0,948248114
-0,392132368;0,259173621;-0,715947025;1,285573483;0,302533742;2,226486572
-0,69463448;-0,02073389;-0,130282877;0,393173379;-0,635320857;-0,713082582
-0,392132368;0,259173621;-0,715947025;-1,391626828;-0,010084458;0,345162314
0,515373969;-0,58054891;1,349706255;0,199173356;4,991806735;-0,948248114
0,212871857;-0,3006414;-0,652631982;-0,964826779;-0,010084458;0,697910612
-0,089630255;-0,02073389;-0,533916277;1,285573483;-0,322702658;-1,183413646
-1,148387648;1,098896151;-0,715947025;-0,732026752;-0,322702658;0,815493378
-0,69463448;0,259173621;-0,130282877;-0,46042672;-0,322702658;-0,47791705
-40,01990906;-24,09277977;-0,620974461;-0,46042672;-0,635320857;-1,300996413
0,212871857;-0,58054891;-0,620974461;-1,314026819;-0,635320857;0,109996781
0,212871857;-0,02073389;-0,518087516;-0,46042672;-0,010084458;0,345162314
-40,01990906;-24,09277977;-0,715947025;0,587173402;0,302533742;-0,125168751
0,364122913;-1,700178951;-0,715947025;1,86757355;-0,010084458;0,109996781
0,515373969;-0,3006414;-0,715947025;-1,779626874;-0,010084458;-0,948248114
-2,812149265;2,218526192;0,613668879;0,625973406;0,615151941;2,461652104
0,817876081;-0,58054891;-0,169854779;-1,508026842;-0,322702658;-1,06583088
-40,01990906;-24,09277977;-0,700118265;1,440773501;-0,322702658;-0,595499816
0,969127137;-0,86045642;-0,636803222;0,819973429;0,615151941;-0,360334283
0,364122913;0,539081131;-0,676375124;-1,779626874;-0,635320857;-0,948248114
-0,997136592;1,938618682;0,328751185;-0,848426765;-0,635320857;0,345162314
0,061620801;-0,86045642;-0,272741724;-0,732026752;-0,010084458;-0,242751517
-40,01990906;-24,09277977;-0,715947025;-0,538026729;-0,322702658;-0,713082582
