tavg(baru);rh(baru);RR(baru);ss(baru);ff(baru);ddd(baru)
0,63665924;0,323838552;3,186883936;-0,026729522;-0,740667111;0,671589338
-0,260451507;0,084814859;-0,713078299;-1,683959856;0,960124033;-0,85750955
1,085214613;-0,154208834;1,517610273;-0,421308173;0,960124033;0,436343355
0,188103866;0,323838552;-0,675650638;1,669958678;1,810519604;-0,269394593
-0,409969965;0,801885938;-0,091779133;1,078090701;0,960124033;-0,151771602
-1,755636085;0,562862245;0,881340043;0,407306995;-0,740667111;-0,622263567
-0,409969965;0,562862245;-0,690621703;-0,184560982;-0,740667111;0,553966347
-1,307080712;1,040909631;-0,683136171;-0,105645252;0,109728461;-1,68087049
0,63665924;0,084814859;-0,278917436;-0,224018847;-0,740667111;0,789212329
0,188103866;0,323838552;-0,713078299;1,157006431;0,109728461;1,142081304
-1,008043796;1,518957017;0,289983005;-0,421308173;-0,740667111;-0,85750955
-1,157562254;0,562862245;0,896311107;-0,381850307;0,109728461;1,024458312
0,487140782;0,562862245;-0,024409344;0,999174971;0,960124033;-1,68087049
1,683288445;-0,393232527;-0,713078299;-0,421308173;0,109728461;0,553966347
0,038585408;0,562862245;-0,713078299;0,091644074;-0,740667111;-0,739886559
0,188103866;0,084814859;-0,653194042;-1,762875586;-0,740667111;0,436343355
1,085214613;-0,871279913;-0,15166339;-0,894802554;0,960124033;0,789212329
0,786177698;0,323838552;-0,713078299;1,235922162;-0,740667111;0,789212329
-0,110933049;0,562862245;-0,713078299;-0,855344689;-0,740667111;0,671589338
-0,709006881;-0,393232527;-0,331316161;-0,539681768;-1,591062682;0,436343355
-1,157562254;-0,871279913;-0,713078299;1,551585082;-0,740667111;0,553966347
-0,709006881;-0,393232527;-0,713078299;0,210017669;0,109728461;-2,268985447
-1,157562254;0,562862245;-0,713078299;-1,605044125;0,109728461;1,142081304
-1,008043796;1,040909631;0,125301299;0,249475534;-0,740667111;1,142081304
-0,260451507;0,323838552;1,555037934;-1,960164911;0,109728461;0,201097372
0,63665924;-0,63225622;-0,668165106;-0,658055363;0,109728461;-0,739886559
2,580399192;-4,217611616;-0,713078299;1,512127217;3,511310748;-1,798493481
0,487140782;-0,63225622;-0,638222978;0,565138455;0,109728461;0,671589338
1,533769987;-0,871279913;-0,713078299;-0,263476712;-0,740667111;0,671589338
0,188103866;-0,871279913;-0,713078299;0,920259241;-0,740667111;0,553966347
-1,008043796;0,084814859;-0,713078299;0,76242778;0,109728461;-1,563247499
