tavg(baru);rh(baru);RR(baru);ss(baru);ff(baru);ddd(baru)
0,488576797;0,424843928;-0,450326703;0,261625816;-0,038585408;-0,080968657
0,363404229;0,424843928;-0,460030712;-0,883910949;3,549857579;3,038638034
-0,26245861;0,424843928;-0,392102644;0,444911699;1,157562254;-0,780190847
-0,637976313;1,36556977;-0,460030712;-0,471517714;-0,038585408;-2,035205033
-1,389011719;0,424843928;1,961119721;0,169982875;-1,234733071;1,944982815
0,613749364;-0,515881913;-0,460030712;-1,204661244;-1,234733071;1,729837526
-0,26245861;-1,770183035;-0,460030712;0,444911699;-0,038585408;0,869256369
0,738921932;-0,515881913;-0,460030712;-0,608982126;-1,234733071;0,062461536
-0,888321448;1,051994489;-0,460030712;0,628197581;-0,038585408;-0,009253561
-0,26245861;0,111268648;-0,164058415;-0,654803596;-1,234733071;-0,278185172
0,989267067;-1,456607755;-0,460030712;-0,150767419;-0,038585408;-0,600903106
1,114439635;0,111268648;-0,460030712;1,132233758;-0,038585408;-0,672618202
-0,012113474;0,111268648;-0,460030712;0,674019052;-0,038585408;1,389190818
-0,387631177;0,738419209;-0,377546629;0,857304934;-1,234733071;0,026603987
0,113059093;-0,202306633;-0,460030712;-0,471517714;1,157562254;-0,080968657
-0,763148881;0,738419209;-0,460030712;1,26969817;-0,038585408;-0,421615365
-0,763148881;0,424843928;-0,460030712;-1,204661244;-0,038585408;-0,278185172
-0,137286042;0,424843928;-0,460030712;-1,891983303;-0,038585408;-0,547116783
0,113059093;0,424843928;0,563742317;-0,334053302;-0,038585408;-0,421615365
-0,012113474;-0,202306633;-0,460030712;0,169982875;-0,038585408;-0,636760654
0,989267067;-0,515881913;-0,460030712;0,811483464;1,157562254;0,062461536
1,489957338;-0,829457194;-0,460030712;1,040590817;-0,038585408;0,026603987
0,488576797;-1,143032474;-0,460030712;0,948947876;-1,234733071;-0,152683754
1,489957338;-1,456607755;-0,460030712;0,674019052;-0,038585408;-0,654689428
1,615129906;-1,770183035;-0,460030712;0,948947876;-0,038585408;-0,063039883
0,989267067;0,111268648;-0,445474698;1,452984052;-0,038585408;-1,049122458
-1,639356855;2,619870892;2,912112676;1,178055229;-1,234733071;-0,780190847
-0,387631177;0,424843928;-0,460030712;-1,296304185;1,157562254;-0,027182335
-1,389011719;1,67914505;-0,460030712;-0,150767419;-0,038585408;1,371262044
-2,765909964;-0,829457194;-0,387250639;-1,891983303;1,157562254;-0,421615365
0,363404229;-0,829457194;-0,460030712;-1,891983303;-0,038585408;-0,529188009
