tavg(baru);rh(baru);RR(baru);ss(baru);ff(baru);ddd(baru)
0,552364146;0,322908694;-0,411780347;-1,180727503;0,125954841;1,636974162
-0,810917575;-9,60994466;-0,411780347;-0,855948864;-0,850195175;-0,21636528
-1,378951626;0,959630063;-0,411780347;-2,187541283;-0,850195175;1,636974162
-0,015669905;0,19556442;-0,411780347;-1,635417597;0,125954841;1,725228421
-1,719772056;1,596351432;-0,360572671;0,540599283;-0,850195175;-1,27541639
-1,151738006;1,086974337;0,950343837;-1,765329053;-0,850195175;1,636974162
-1,492558436;1,086974337;2,343192627;0,18334278;0,125954841;-0,922399354
-0,129276715;0,450252968;-0,29912346;0,053431324;0,125954841;-0,834145095
-0,583703955;0,832285789;0,509957823;0,280776372;1,102104856;-0,392873799
-2,060592486;1,469007158;0,100296414;-0,173913723;-1,82634519;1,107448607
-0,242883525;0,450252968;3,940872121;-1,862762645;-0,850195175;-0,392873799
1,006791386;0,322908694;-0,411780347;0,215820644;-0,850195175;-0,30461954
1,006791386;0,832285789;-0,411780347;0,053431324;-0,850195175;-0,392873799
-1,151738006;1,086974337;-0,381055741;1,157678696;1,102104856;-0,657636576
-0,015669905;0,068220147;1,431695993;-1,602939734;1,102104856;-0,922399354
0,665970956;0,068220147;-0,411780347;0,60555501;-0,850195175;-0,745890835
-31,82557673;-9,60994466;-0,411780347;0,18334278;1,102104856;-0,569382317
-0,129276715;-0,059124127;-0,411780347;0,118387052;-1,82634519;-0,392873799
0,097936905;-0,695845496;-0,411780347;0,573077147;0,125954841;1,725228421
0,665970956;-0,441156948;-0,411780347;0,150864916;-0,850195175;-1,010653613
0,665970956;-0,695845496;-0,411780347;0,60555501;0,125954841;-0,21636528
0,665970956;-2,733353876;-0,411780347;0,930333649;1,102104856;-0,392873799
-0,242883525;-1,587255412;-0,411780347;1,222634424;0,125954841;1,725228421
-0,242883525;-0,186468401;-0,411780347;1,19015656;1,102104856;1,636974162
0,779577766;0,068220147;-0,411780347;0,76794433;-0,850195175;-0,128111021
1,802039056;-0,441156948;-0,411780347;-0,108957995;0,125954841;-0,657636576
2,029252677;-0,82318977;-0,411780347;0,735466466;2,078254871;-0,745890835
0,325150525;-0,695845496;-0,411780347;0,930333649;2,078254871;-0,481128058
-31,82557673;-9,60994466;-0,411780347;0,735466466;0,125954841;-0,481128058
0,552364146;-1,205222591;-0,411780347;1,060245105;0,125954841;-0,569382317
0,552364146;-1,332566865;-0,411780347;-0,920904592;0,125954841;-0,128111021
